Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
123,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,38,38,3384,37.6,2.1,5.72,65.6,13.2,0,0.08,0.29,1.87,0.31,-0.21,4.41,13.6,32.5,29,6.81,35.3,32.9,7.63,43.9,38.9,6.52,8.6,0.98,0.39
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27,27,2430,27,1.22,2.7,64.4,14.8,12.5,0.07,0.15,1.02,0.29,-0.2,8.3,26,32,31.9,3.56,63.4,50.9,6.33,91.2,70.7,5.56,6.7,0.56,0.52
125,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,34,3060,34,1.47,3.97,64.4,11.8,33.3,0.03,0.21,1.27,0.3,-0.14,6.76,18.8,35.9,22,3.53,64.3,46.9,6.82,68.5,49.3,9.15,5.1,0.38,0.39
126,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,7,630,7,1.14,3,71.4,14.3,0,0.14,0.14,1.14,0.31,0,5,14.3,35,22.9,5.71,40.6,39,11,45.5,39.6,9.86,8.7,0.71,1.97
127,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,30,2700,30,1.73,4.4,63.6,13.3,0,0.03,0.2,1.36,0.29,-0.34,4.67,9.67,48.3,25.7,4.9,26.7,29.9,8.03,34.9,32.9,9.6,5.2,0.97,0.49
128,Juan Musso,ar ARG,GK,Atalanta,it Serie A,27,1994,33,33,2932,32.6,1.29,3.56,66.4,24.2,0,0,0.06,1.07,0.28,-0.12,5.31,12.1,43.7,22.8,5.12,33,34.1,6.41,72.2,52.4,6.56,10.7,0.89,0.49
129,Paul Nardi,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22,22,1980,22,1.73,4,61.4,18.2,0,0.18,0.14,1.44,0.32,-0.2,3.68,14.4,25.6,16.4,3.41,51,43.3,8,75.6,58.9,9.5,2.9,0.32,0.6
130,Keylor Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,21,21,1856,20.6,0.87,3.69,78.9,38.1,0,0,0.1,0.89,0.22,0.02,2.18,4.08,53.6,20,4.66,16.5,27,6.75,11.5,22.4,7.52,5.2,0.53,0.65
131,Neto,br BRA,GK,Barcelona,es La Liga,32,1989,3,3,270,3,1.33,4.67,71.4,0,0,0.33,0.33,1.33,0.29,0,8.67,16,54.2,36,6,41.7,36.1,7.33,13.6,28.2,8.33,4,0.67,4.77
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,35,1986,28,28,2510,27.9,0.93,3.19,71.9,35.7,0,0,0.04,0.89,0.27,-0.04,6.16,10.5,58.5,38.4,5.66,25.2,30.7,5.95,14.5,27.5,6.85,6.3,1.47,0.71
133,Alexander Nübel,de GER,GK,Monaco,fr Ligue 1,24,1996,38,38,3420,38,1.05,3.55,76.3,28.9,0,0,0.16,1.14,0.27,0.17,5.18,12.4,41.7,22.3,4.32,37.5,35.9,7.32,55.8,46,7.24,3.6,0.53,0.39
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,28,1993,38,38,3420,38,1.13,2.53,62.5,31.6,12.5,0.05,0.11,0.89,0.28,-0.16,5.34,17,31.4,21.4,3.92,55.9,44.1,7.45,68.2,51.5,7.68,6.8,0.42,0.37
135,Oier Olazábal,es ESP,GK,Espanyol,es La Liga,31,1989,2,1,135,1.5,0.67,4.67,100,100,0,0,0,1.93,0.28,1.27,6.67,19.3,34.5,22,3.33,57.6,42.5,6.67,100,60.4,12.7,0,0,6
136,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,31,1990,1,1,90,1,3,5,40,0,0,0,0,2.6,0.52,-0.4,11,32,34.4,28,6,64.3,45.9,20,70,54,12,8.3,0,9.7
137,Jonas Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27,1994,29,29,2587,28.7,1.43,5.33,75.2,27.6,25,0.03,0.1,1.44,0.25,0.01,5.75,13.3,43.1,28.5,6.27,32.4,33.3,9.23,44.5,39.9,10.6,7.9,0.59,0.48
138,Stefan Ortega,de GER,GK,Arminia,de Bundesliga,28,1992,33,33,2970,33,1.61,5.21,73.3,18.2,0,0.03,0.21,1.77,0.31,0.22,14.3,29.7,48.1,43.8,2.64,54.6,44.4,9.42,61.1,49.6,9.3,3.9,1.06,0.48
139,David Ospina,co COL,GK,Napoli,it Serie A,32,1988,31,31,2790,31,0.81,3.35,76.9,41.9,0,0,0.1,0.94,0.28,0.17,4.23,9.32,45.3,27.5,3.94,30.2,31.8,4.58,21.8,25.9,6.71,8.2,0.61,0.48
140,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,33,1988,21,21,1875,20.8,1.88,4.23,59.1,14.3,0,0.05,0.1,1.66,0.36,-0.12,7.55,17.5,43.3,20.2,6.2,54.6,44.9,8.08,79.2,58.2,8.56,16.3,1.25,0.79
141,Jesús Owono,gq EQG,GK,Alavés,es La Liga,20,2001,1,1,90,1,1,4,75,0,0,0,0,0.7,0.16,-0.3,9,21,42.9,20,2,90,60,3,100,75,4,0,2,15.7
142,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,29,1992,34,34,3053,33.9,1.77,4.1,60.4,17.6,37.5,0,0.29,1.6,0.35,-0.17,10.8,21.9,49.5,21.2,2.39,70.6,50.4,9.09,76.3,53.3,9.94,8.3,0.71,0.43
143,Daniele Padelli,it ITA,GK,Udinese,it Serie A,35,1985,3,3,270,3,2.67,7.67,65.2,33.3,0,0,0,2.4,0.32,-0.27,4.33,14.3,30.2,29.7,6.33,36,31,7.33,50,40.5,12.7,7.9,0.33,4.03
144,Ivor Pandur,hr CRO,GK,Hellas Verona,it Serie A,21,2000,3,3,270,3,2,4.67,64.3,0,0,0.33,0.33,1.7,0.29,-0.3,4.67,8.67,53.8,17.7,3.33,37.7,36.8,5,40,34.2,3,11.1,0,4.1
145,Rui Patrício,pt POR,GK,Roma,it Serie A,33,1988,38,38,3420,38,1.13,3.71,73,39.5,16.7,0.03,0.13,1.04,0.24,-0.04,5.37,11.6,46.2,22.4,3.63,42.1,36.7,5.82,38,35,6.45,2,0.47,0.35
146,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,40,1981,1,1,90,1,3,5,40,0,0,0,1,1.8,0.36,-1.2,6,10,60,26,4,30.8,31,8,25,25.6,12,0,0,12.8
147,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1,1,90,1,3,7,57.1,0,0,0,0,2.3,0.33,-0.7,4,11,36.4,33,5,30.3,29.5,7,14.3,27.4,8,0,1,13.6
148,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,2,180,2,1.5,2,25,0,0,0,0.5,0.45,0.23,-0.55,4,15.5,25.8,16.5,3,69.7,49.6,4.5,88.9,65.2,6,8.3,1.5,8.6
149,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,5,5,405,4.5,1.56,3.56,56.3,20,0,0,0.22,1.29,0.36,-0.04,3.78,9.33,40.5,24.7,3.11,32.4,34.6,5.78,23.1,28.5,8.89,5,0,2.16
150,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6,6,540,6,2.33,6,63.9,16.7,0,0.17,0.33,1.33,0.2,-0.83,4,11.7,34.3,25.8,4.5,38.1,35.3,7.5,24.4,26.4,9.83,5.1,0.83,2.33
151,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15,1.47,4.13,67.7,13.3,33.3,0,0.07,1.09,0.24,-0.24,3.47,10.3,33.5,22.7,6,30.3,32.3,8,43.3,38.7,8.87,9,0.67,0.83
152,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,35,3150,35,1.66,4.77,65.9,20,0,0.06,0.34,1.55,0.32,0,8.31,23.5,35.4,24.9,3.09,69.3,53,7.54,82.2,64.9,8.86,7.1,0.74,0.43
153,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,1,0,45,0.5,2,2,100,0,0,0,0,2,0.06,0,8,10,80,20,0,40,33.1,2,100,53,14,0,0,0
154,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,6,4,436,4.8,1.25,4.38,90.5,25,0,0,0.21,1.29,0.13,0.04,4.58,8.96,51.2,29.8,4.58,23.1,28.7,6.88,30.3,30.2,5.42,11.5,0.63,3.31
155,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,36,3240,36,1.31,4.42,73.6,25,0,0.03,0.19,1.4,0.3,0.12,8.86,23.5,37.7,22,3.86,73.4,52.8,7.92,93,65.9,10.4,9.6,1.75,0.51
156,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,13,1170,13,2.23,4.31,51.8,15.4,50,0,0.38,1.82,0.36,-0.26,7.38,16.8,44,28.5,4.23,42,36.7,8.46,56.4,44,8.92,2.6,1.77,1.22
157,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1,1,90,1,1,2,50,0,0,0,0,0.4,0.19,-0.6,4,9,44.4,18,0,38.9,32.9,8,25,23.1,10,0,0,9
158,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,31,31,2761,30.7,1.69,5.05,72.3,22.6,10,0.1,0.16,1.68,0.29,0.09,8.76,22.7,38.6,31.1,4.07,55.5,45.7,7.49,72.2,53.9,8.89,7.7,0.68,0.47
159,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1,1,90,1,2,3,33.3,0,0,0,0,1.5,0.52,-0.5,4,8,50,19,2,36.8,35.4,4,25,31.3,4,0,0,8
160,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3,3,270,3,1.67,5,73.3,33.3,50,0.33,0,1.97,0.31,0.3,8.67,23,37.7,25,3.67,61.3,45.1,9.33,82.1,54.2,9.67,3.4,0.33,3.97
161,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38,38,3420,38,1.16,4,74.3,28.9,16.7,0.05,0.26,1.1,0.25,-0.03,5.42,14.4,37.5,25.7,5.39,41.8,38.7,7.45,49.8,41.4,10.4,8.6,1.11,0.42
162,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,19,2001,1,1,90,1,1,4,75,0,0,0,0,0.9,0.22,-0.1,5,17,29.4,36,6,38.9,35.7,4,75,49,20,15,2,17.4
163,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,34,34,3060,34,1.15,3.59,72.1,35.3,0,0,0.09,0.98,0.24,-0.14,5.18,15.3,33.8,28.4,4.62,39.6,37,5.65,72.4,57.2,7.65,8.1,1.03,0.47
164,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,32,1988,1,0,5,0.1,10,0,0,0,0,0,0,9,0,-1,20,40,50,20,0,100,58,20,100,66,0,0,0,0
165,David Raya,es ESP,GK,Brentford,eng Premier League,25,1995,24,24,2160,24,1.13,4.13,76.8,33.3,0,0.04,0.17,1.15,0.24,0.02,10.6,24,44,35.5,4.83,50.8,41.5,8.33,72.5,53.7,9.58,6.5,1.08,0.63
166,Manolo Reina,es ESP,GK,Mallorca,es La Liga,36,1985,21,21,1890,21,1.24,3.43,66.7,38.1,33.3,0,0.1,1.17,0.3,-0.02,6.9,18.1,38.1,21.8,3.29,58.2,46.1,8.71,62.8,47.7,10.4,6.8,0.52,0.69
167,Pepe Reina,es ESP,GK,Lazio,it Serie A,38,1982,15,15,1350,15,1.93,3.73,55.4,13.3,0,0,0.13,1.61,0.37,-0.32,6.6,12.1,54.4,28.4,4.67,35,33.2,6.6,33.3,32.1,8,5,0.67,0.93
168,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,26,1995,35,35,3150,35,0.91,3.06,73.8,54.3,20,0.03,0.14,0.99,0.28,0.07,7.46,15.6,47.7,28.8,3.37,40.2,36.3,6.91,58.3,47.8,8.71,7.2,1.06,0.45
169,Sergio Rico,es ESP,GK,Mallorca,es La Liga,27,1993,14,14,1260,14,2.07,3.71,50,7.1,25,0,0.29,1.6,0.37,-0.33,7.43,15.2,48.8,19.1,3.29,56.3,44.6,6.5,68.1,51.4,9.07,4.7,0.29,0.87
170,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,27,1993,1,0,23,0.3,3.33,10,66.7,0,0,0,0,3.67,0.41,0.33,6.67,10,66.7,26.7,3.33,37.5,32.3,0,0,0,13.3,0,3.33,61
171,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,32,1988,31,31,2790,31,1.45,4.81,71.8,22.6,40,0.03,0.16,1.67,0.33,0.35,18.5,37.4,49.4,45.3,3.29,69.9,49.4,7.9,72.7,52.4,7.97,10.5,2,0.59
172,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2,2,180,2,2.5,6.5,69.2,0,0,0,0,1.55,0.19,-0.45,6,16,37.5,26.5,3,47.2,39.7,8,43.8,38.7,10.5,9.5,1.5,8.5
173,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16,16,1440,16,2.06,6.19,72.7,18.8,0,0,0.06,1.98,0.28,0.04,7.44,16.6,44.7,28.1,6.31,44.5,38.1,8.81,46.8,39.3,9.94,6.9,0.5,0.76
174,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,1,0,37,0.4,2.5,5,50,0,0,0,0,3,0.59,0.5,5,17.5,28.6,30,0,41.7,42,10,50,54,7.5,0,0,35
175,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,2,1,135,1.5,2,4.67,57.1,0,0,0,0.67,1.53,0.33,-0.47,2,8,25,10,2.67,53.3,46,9.33,28.6,39.4,2.67,0,0.67,14.3
176,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32,32,2880,32,0.88,3.03,74.2,43.8,25,0,0.09,0.89,0.27,0.04,5.31,12.2,43.7,33.5,5.03,27.7,33.8,6.53,44,40.5,9.56,8.8,0.97,0.48
177,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3,3,270,3,1.67,5,73.3,33.3,0,0,1,1.67,0.28,0,6.67,19.3,34.5,29.3,4.67,51.1,42.2,6.33,68.4,49.3,12,11.1,0.33,4.73
178,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,7,630,7,0.71,2.57,72.2,28.6,0,0,0,0.59,0.23,0.01,7.43,19.6,38,30.3,4,51.9,40.8,6.14,62.8,49.5,7.86,14.5,0.43,2.47
179,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,37,37,3285,36.5,1.1,4.11,79.3,29.7,0,0.03,0.03,1.32,0.27,0.25,4.55,13.3,34.2,22.7,5.4,42.7,39.3,7.1,51,42.7,8.63,10.8,1.1,0.42
180,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,1,90,1,2,3,33.3,0,0,0,0,1,0.32,-1,6,9,66.7,29,8,31,35.3,3,0,13.3,6,16.7,1,14.5
181,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37,37,3329,37,1.14,3.78,72.1,29.7,0,0.03,0.14,1.17,0.29,0.03,5.3,16.7,31.7,34.3,4.41,36.2,37.6,6.24,68.8,54.1,8.57,11.7,0.81,0.38
182,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,1,0,8,0.1,0,10,100,0,0,0,0,1,0.14,1,0,0,0,0,0,0,0,10,0,17,10,0,0,0
183,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37,37,3330,37,1.57,4.76,71,18.9,22.2,0.03,0.41,1.52,0.29,-0.02,6.92,15.9,43.5,26,4.03,45.7,38.9,7.86,50.9,43.7,7.51,6.8,0.43,0.34
184,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21,21,1890,21,1.33,4.57,70.8,14.3,100,0.1,0.14,1.29,0.27,0,6.71,14.1,47.5,40.4,4.1,28.2,31.7,6.95,39.7,37.7,6.9,5.5,0.57,0.67
185,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,25,25,2175,24.2,2.11,4.96,61.7,16,0,0.04,0.29,1.98,0.37,-0.12,6.78,16,42.5,26,5.33,39.4,36.2,8.43,67.6,50.8,10.7,4.7,0.58,0.55
186,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37,37,3330,37,1.16,3.38,68.8,35.1,0,0,0.14,1.07,0.3,-0.06,5.19,11.9,43.5,19.4,3.76,44.7,37.7,6.38,50.8,43.1,7.57,7.9,0.62,0.39
187,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1,1,90,1,1,3,66.7,0,0,0,0,0.8,0.27,-0.2,10,24,41.7,30,3,60,42.3,7,85.7,54.6,6,0,0,12.1
188,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,16,16,1392,15.5,1.55,4.84,72,6.3,0,0,0.13,1.5,0.28,-0.05,10.9,22.1,49.4,28.3,2.77,59.8,46.3,8.19,63,48.2,9.61,3.4,0.58,0.9
189,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,22,21,1964,21.8,0.96,3.3,73.6,38.1,0,0,0.14,1.01,0.28,0.05,5.96,14.8,40.2,25.1,4.22,41.6,37,8.07,54,44.6,9.5,5.3,0.92,0.65
190,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35,35,3150,35,1.43,3.8,66.2,20,0,0,0.17,1.27,0.3,-0.13,5.29,13.9,38.1,19.9,2.89,51.4,41,7.14,50.8,41.1,7.26,5.1,0.14,0.34
191,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34,34,3060,34,0.91,3.12,73.6,35.3,0,0,0.06,0.88,0.26,0,5.26,12.2,43,20.3,5.32,42.3,37.4,7.12,51.2,44,10.9,6.2,0.68,0.45
192,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1,1,90,1,1,3,66.7,0,0,0,0,0.1,0.04,-0.9,8,15,53.3,42,4,28.6,33.5,5,60,56.2,12,0,0,14.4
193,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37,37,3330,37,1.59,4.73,68.6,27,20,0.08,0.19,1.41,0.29,-0.13,7.86,18.3,42.9,25.3,2.73,52.9,40.8,7.27,68,46.9,8.16,4.3,0.32,0.34
194,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,4,3,277,3.1,1.29,4.84,80,33.3,0,0,0.32,1.48,0.24,0.19,10.3,24.2,42.7,21.3,2.26,69.7,50.2,12.9,72.5,56.3,13.9,14,0.65,4.03
195,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36,36,3240,36,1.47,4.61,72.9,33.3,11.1,0.03,0.14,1.46,0.28,0.04,6.67,14.7,45.4,27,4.44,45.2,37.9,7.97,31.4,29.1,9.83,5.9,0.17,0.31
196,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33,33,2970,33,1.82,5.3,67.4,15.2,40,0.03,0.18,1.94,0.34,0.15,6.88,17,40.5,37.4,4.82,36.8,34.8,6.79,47.3,40.9,7.61,6.4,1.09,0.47
197,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,38,38,3414,37.9,1.08,3.43,70,36.8,33.3,0,0.13,1,0.27,-0.06,10.2,24.1,42.2,23.5,2.59,75.5,52.9,7.68,83.8,58.5,9.58,11.6,0.79,0.38
198,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5,5,450,5,1,3.2,81.3,40,0,0,0.2,1.06,0.22,0.06,3.6,9,40,20.8,5.6,23.1,28.7,5.6,75,52.5,4.8,8.3,1,2.44
199,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1,1,90,1,2,5,60,0,0,0,1,1.2,0.25,-0.8,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,9.1,0,13
200,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,1,90,1,3,4,25,0,0,0,0,1.8,0.45,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,12.5,1,14.3
201,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1,1,90,1,0,2,100,100,0,0,0,0.3,0.16,0.3,4,9,44.4,31,6,22.6,26,7,28.6,25.3,7,0,2,17.5
202,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23,23,2070,23,1.26,3.78,67.8,30.4,0,0.04,0.17,1.18,0.3,-0.04,4.7,9.26,50.7,26.5,3.87,30.2,30.9,5.26,24,25.5,7.91,4.9,0.3,0.65
203,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,31,1990,33,33,2970,33,0.88,3.06,74.3,36.4,50,0.06,0.15,0.97,0.28,0.09,5.15,10.4,49.7,25.4,4.52,33.4,34,5.36,35,33.3,9.55,6.7,0.42,0.39
204,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,35,1986,6,6,540,6,1.67,3.5,61.9,16.7,33.3,0,0.17,1.5,0.3,0,6.17,13.2,46.8,28,2,39.3,36.8,6.33,34.2,37.6,8.17,4.1,0.67,2.17
205,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,29,1992,35,35,3150,35,0.97,3.14,70.9,31.4,33.3,0,0.17,0.96,0.29,-0.01,6.03,10.1,59.4,30.7,4.23,25.9,29.8,5.83,37.3,34.8,6.17,6.5,0.29,0.38
206,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,31,1990,32,31,2862,31.8,1.35,2.99,56.8,29,33.3,0,0.09,1.11,0.35,-0.18,8.77,17.5,50.1,42.5,4.31,36.1,35.6,5.35,40,35.8,5.88,9.6,0.88,0.49
207,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,32,32,2880,32,1.44,4.84,72.9,15.6,0,0,0.13,1.45,0.28,0.04,6.06,19.1,31.8,31.2,4.44,47.9,38.1,7.78,53,44.9,8.28,4.2,1,0.49
208,Philipp Tschauner,de GER,GK,RB Leipzig,de Bundesliga,35,1985,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,40,40.2,0,0,0,0,0,0,0
209,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,32,1988,6,6,540,6,1.83,3.83,56.5,16.7,0,0.17,0.17,1.57,0.37,-0.1,4,9,44.4,33,5.17,24.7,27.7,6.33,13.2,21.7,6.5,12.8,1.33,3.23
210,Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,27,1993,2,2,180,2,3.5,6,41.7,0,0,0,1,1.45,0.24,-2.05,13,26.5,49.1,35,7,47.1,38.2,10,100,65.1,7,7.1,1,6.55
211,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,1,1,4,26.9,0,0,0,0,0,0,0,0,0,0,0.07,0.15,50,0.11,0,100,61.7,0.04,100,64,0.07,0,0,0
212,Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,24,1996,38,38,3420,38,1.84,5.5,68.9,18.4,28.6,0.03,0.18,1.78,0.3,0.09,4.37,11.4,38.2,28.1,5.55,29.8,32.2,6.76,45.5,39.6,10.7,8.6,0.53,0.36
213,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,28,1993,1,1,90,1,1,5,80,0,0,0,1,1.3,0.26,0.3,3,7,42.9,27,8,22.2,30.2,7,14.3,27,11,27.3,0,14.7
214,Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,24,1997,4,4,360,4,3,4.75,47.4,0,33.3,0,0,2.17,0.35,-0.82,5.5,17.8,31,20,2.75,53.8,43.3,10.8,65.1,52,8.25,6.1,0,2.9
215,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,26,1994,32,32,2880,32,1.31,3.59,67,31.3,20,0,0.13,1.23,0.31,-0.05,4.59,13.5,34.1,23.8,5.19,41.3,38.1,7.34,49.4,43.3,7.88,9.1,1.5,0.54
216,Luca Zidane,fr FRA,GKMF,Rayo Vallecano,es La Liga,23,1998,8,8,645,7.2,1.81,5.14,64.9,0,0,0,0.14,1.67,0.32,-0.14,7.5,15.7,47.8,24.7,5.69,43.3,38,7.36,67.9,53.4,7.5,7.4,0.56,1.75
217,Jeroen Zoet,nl NED,GK,Spezia,it Serie A,30,1991,7,7,630,7,2.71,5.71,55,0,50,0,0.43,2.5,0.39,-0.21,4.14,11.6,35.8,25.9,5.86,32,33.9,7.71,42.6,39.4,7.43,5.8,0.71,1.96
218,Petar Zovko,ba BIH,GK,Spezia,it Serie A,19,2002,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,3.33,13.3,25,23.3,10,42.9,39.9,10,33.3,31.3,6.67,0,3.33,72.7
