Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
49,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6,6,540,6,0.83,3,72.2,66.7,0,0,0,0.88,0.3,0.05,4.67,10.5,44.4,31.8,4.17,26.7,32.3,5.5,36.4,36.6,8.5,7.8,1.5,2.87
50,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,4,3,343,3.8,1.05,2.89,63.6,33.3,0,0,0.26,1.26,0.43,0.47,10.3,20.8,49.4,19.7,2.11,72,48.1,8.42,78.1,56,10.5,7.5,0.26,2.76
51,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,17,1530,17,1,3.53,73.3,29.4,0,0,0.18,1.03,0.28,0.09,2.35,4.24,55.6,21.6,6,14.4,24.1,5.82,19.2,23.7,6.47,5.5,1.29,1.01
52,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,7,7,556,6.2,1.29,3.71,69.6,28.6,50,0,0.16,1.34,0.28,0.05,8.55,19.2,44.5,49.2,3.71,33.1,33.9,6.29,46.2,43.6,5,16.1,2.1,2.85
53,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,16,1440,16,1.56,3.56,57.9,43.8,0,0,0.13,1.18,0.32,-0.38,5.31,14.3,37.1,17.9,2.75,45.6,39.9,8.38,73.1,50.8,9.13,4.8,0.31,0.84
54,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26,26,2340,26,1.35,4.08,67.9,30.8,0,0,0.27,1.47,0.36,0.16,8.54,20.2,42.4,23.4,3.31,50,41.1,9.12,92.8,64.8,8.12,8.1,0.35,0.49
55,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37,37,3330,37,0.7,2.24,69.9,54.1,0,0,0.03,0.64,0.28,-0.06,4.19,7.08,59.2,25.7,4.08,24,30,3.73,24.6,31.6,4.89,8.8,0.92,0.46
56,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,4,3,284,3.2,1.88,4.38,71.4,33.3,0,0,0,1.31,0.19,-0.56,12.2,27.8,43.8,27.5,4.06,68.2,48.1,11.6,78.4,54.3,8.13,7.7,2.19,4.53
57,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3,3,270,3,2.33,6,72.2,0,0,0,0.33,2.03,0.25,-0.3,7.33,24.7,29.7,34.7,3,50,40.3,10,73.3,48.9,9.67,0,0.33,3.77
58,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37,37,3330,37,1.35,4.22,69.2,21.6,60,0.03,0.3,1.41,0.31,0.11,6.51,16.3,40,19.6,3.92,55.8,44.1,7.57,70.4,52.9,9.3,4.1,0.24,0.32
59,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,10,9,855,9.5,1.47,5.58,75.5,22.2,0,0,0,1.65,0.28,0.28,6.84,17.7,38.7,29.9,4.63,40.5,36.7,7.79,71.6,49.1,11.4,8.3,0.11,1.25
60,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,13,11,1105,12.3,1.22,3.41,66.7,27.3,0,0,0.08,0.93,0.25,-0.29,2.76,7.72,35.8,18,4.8,35.6,32.6,6.59,19.8,25.1,7.97,3.1,1.06,1.22
61,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13,13,1166,13,2.23,6.08,64.6,15.4,50,0,0.62,1.92,0.29,-0.32,5.62,13.4,42,22.3,4.77,46.2,40.2,7,44,36.4,8.54,4.5,0.85,1.25
62,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12,12,1080,12,2,5.58,65.7,8.3,0,0,0.42,2.06,0.36,0.23,6.83,20.6,33.2,34.8,4.67,48,38.6,6.92,56.6,41,10.3,5.7,0.83,1.19
63,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1,1,90,1,5,8,37.5,0,0,0,1,2.6,0.33,-2.4,11,19,57.9,20,4,50,41.3,11,81.8,53.3,7,14.3,0,10
64,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,32,2880,32,1.22,4.38,73.6,31.3,0,0.03,0.09,1.2,0.27,0.01,9.09,21.8,41.7,34.2,3.63,47,42.6,7.53,76.3,62.8,9.06,6.2,0.94,0.49
